name,start_x,start_y,end_x,end_y
face_top,8,8,14,9
face_bottom,8,11,14,15
cheek_top,6,8,7,9
cheek_bottom,6,11,7,15
back_head_top,0,8,0,9
back_head_bottom,0,11,0,15
chest_top_left,20,20,21,21
chest_middle_left,20,23,21,24
chest_bottom_left,20,27,21,31
chest_top_center,23,20,24,21
chest_middle_center,23,23,24,24
chest_bottom_center,23,27,24,31
chest_top_right,26,20,27,21
chest_middle_right,26,23,27,24
chest_bottom_right,26,27,27,31
left_shoulder,46,21,46,21
left_arm_top_left,44,23,44,24
left_arm_bottom_left,44,27,44,31
left_arm_top_right,46,23,46,24
left_arm_bottom_right,46,27,46,31
right_shoulder,36,53,36,53
right_arm_top_left,36,55,36,56
right_arm_bottom_left,36,59,36,63
right_arm_top_right,38,55,38,56
right_arm_bottom_right,38,59,38,63
