name,start_x,start_y,end_x,end_y
face_top,8,8,14,9
face_bottom,8,11,14,15
cheek_top,6,8,7,9
cheek_bottom,6,11,7,15
back_head_top,0,8,5,9
back_head_bottom,0,11,5,15
chest_top_left,20,20,20,21
chest_middle_left,20,23,20,24
chest_bottom_left,20,27,20,31
chest_top_center,23,20,24,21
chest_middle_center,23,23,24,24
chest_bottom_center,23,27,24,31
chest_top_right,27,20,27,21
chest_middle_right,27,23,27,24
chest_bottom_right,27,27,27,31
left_shoulder_top,46,20,46,20
left_shoulder_bottom,45,21,46,21
left_arm_top,44,23,46,24
left_arm_bottom,44,27,46,31
right_shoulder_top,36,52,36,52
right_shoulder_bottom,36,53,37,53
right_arm_top,36,55,38,55
right_arm_bottom,36,59,38,63
