name,start_x,start_y,end_x,end_y
face_top,3,0,9,1
face_bottom,3,2,9,6
cheek_top,1,0,2,1
cheek_bottom,1,2,2,6
back_head_top,0,0,0,1
back_head_bottom,0,2,0,6
chest_top_left,3,7,3,8
chest_middle_left,3,9,3,10
chest_bottom_left,3,11,3,15
chest_top_center,4,7,5,8
chest_middle_center,4,9,5,10
chest_bottom_center,4,11,5,15
chest_top_right,6,7,6,7
chest_middle_right,6,9,6,10
chest_bottom_right,6,11,6,15
left_shoulder_top,2,7,2,7
left_shoulder_bottom,1,8,2,8
left_arm_top,0,9,2,10
left_arm_bottom,0,11,2,15
right_shoulder_top,7,7,7,7
right_shoulder_bottom,7,8,8,8
right_arm_top,7,9,9,10
right_arm_bottom,7,11,9,15
