name,start_x,start_y,end_x,end_y
face_top,3,0,9,1
face_bottom,3,2,9,6
cheek_top,1,0,2,1
cheek_bottom,1,2,2,6
back_head_top,0,0,0,1
back_head_bottom,0,2,0,6
chest_top_left,2,7,3,8
chest_middle_left,2,9,3,10
chest_bottom_left,2,11,3,15
chest_top_center,4,7,5,8
chest_middle_center,4,9,5,10
chest_bottom_center,4,11,5,15
chest_top_right,6,7,7,8
chest_middle_right,6,9,7,10
chest_bottom_right,6,11,7,15
left_shoulder,1,8,1,8
left_arm_top_left,0,9,0,10
left_arm_bottom_left,0,11,0,15
left_arm_top_right,1,9,1,10
left_arm_bottom_right,1,11,1,15
right_shoulder,8,8,8,8
right_arm_top_left,8,9,8,10
right_arm_bottom_left,8,11,8,15
right_arm_top_right,9,9,9,10
right_arm_bottom_right,9,11,9,15
